# Theta[deg]   da/a_dipole[ppm]  e(da/a_dipole)[ppm]
51.1227 6.40207 1.78638
51.1268 6.40152 1.73124
51.1809 6.39401 1.81053
51.1957 6.39196 1.75887
51.2893 6.37896 1.78552
51.3902 6.36493 1.77005
51.4048 6.3629 1.80956
51.4113 6.36199 1.72918
51.4276 6.35973 1.75746
51.4553 6.35588 1.80935
51.5967 6.33617 1.76566
51.635 6.33083 1.80859
51.6743 6.32533 1.80843
51.7952 6.30844 1.69847
51.8094 6.30645 1.80787
51.8376 6.30251 1.80776
51.882 6.29629 1.70882
51.9278 6.28987 1.80739
51.9337 6.28904 1.78232
51.9447 6.2875 1.80732
51.964 6.2848 1.63773
51.9898 6.28117 1.80714
51.9955 6.28038 1.80712
52.0376 6.27447 1.63891
52.0714 6.26973 1.64564
52.0893 6.26722 1.78158
52.0937 6.26659 1.67059
52.118 6.26318 1.69579
52.1308 6.26138 1.6501
52.1909 6.25293 1.70268
52.3337 6.23283 1.75219
52.3609 6.22899 1.63181
52.4317 6.21901 1.63375
52.4489 6.21659 1.66715
52.4581 6.21528 1.6392
52.4749 6.21291 1.74703
52.5104 6.2079 1.64581
52.5214 6.20635 1.66014
52.5294 6.20521 1.72142
52.5547 6.20163 1.75096
52.6889 6.18265 1.77882
52.7072 6.18007 1.7421
52.8038 6.16638 1.7196
52.8331 6.16221 1.77818
52.8843 6.15495 1.65351
53.013 6.13667 1.7982
53.0292 6.13436 1.79783
53.1587 6.11592 1.79494
53.2072 6.10902 1.79385
53.3869 6.08336 1.77584
53.3906 6.08284 1.68569
53.4167 6.0791 1.7464
53.4615 6.07271 1.6775
53.4649 6.07222 1.78809
53.5196 6.06439 1.7753
53.5451 6.06074 1.78629
53.6266 6.04906 1.74535
53.6847 6.04073 1.7214
53.7039 6.03797 1.68332
53.7874 6.02599 1.67107
53.8535 6.01649 1.6541
53.88 6.01268 1.71283
53.9282 6.00574 1.77773
53.9408 6.00393 1.71599
53.9502 6.00257 1.60858
54.0021 5.99511 1.61373
54.0156 5.99317 1.61362
54.0169 5.99298 1.62933
54.0265 5.99159 1.77332
54.0394 5.98974 1.77524
54.1437 5.9747 1.71126
54.1473 5.97417 1.77287
54.2006 5.96649 1.65101
54.3477 5.94523 1.60289
54.3562 5.94399 1.62687
54.3904 5.93904 1.62539
54.393 5.93866 1.60888
54.4072 5.93662 1.60728
54.4431 5.93141 1.74146
54.5441 5.91677 1.76396
54.6065 5.90773 1.77123
54.6414 5.90266 1.74057
54.6851 5.89631 1.76081
54.7152 5.89194 1.77085
54.7289 5.88994 1.62019
54.9377 5.85957 1.67445
55.0094 5.8491 1.69345
55.1218 5.83271 1.64491
55.1257 5.83214 1.76951
55.1763 5.82474 1.70545
55.2221 5.81804 1.7692
55.2411 5.81528 1.67239
55.2872 5.80852 1.68761
55.3065 5.8057 1.74693
55.4109 5.7904 1.73732
55.4289 5.78778 1.70412
55.4626 5.78283 1.63828
55.476 5.78087 1.74315
55.5717 5.76682 1.63938
55.5831 5.76515 1.76812
55.5973 5.76306 1.73659
55.6671 5.75281 1.76788
55.8714 5.72273 1.61041
55.9101 5.71703 1.63666
55.9363 5.71316 1.58074
55.9489 5.71131 1.59025
55.9778 5.70704 1.76701
55.9808 5.7066 1.5823
56.0492 5.69651 1.76682
56.2083 5.67299 1.72684
56.2363 5.66884 1.59355
56.2382 5.66856 1.60687
56.3091 5.65807 1.76616
56.3185 5.65668 1.73392
56.333 5.65453 1.57537
56.3357 5.65413 1.58578
56.3677 5.64939 1.76601
56.3758 5.64819 1.57617
56.4047 5.6439 1.72248
56.4161 5.6422 1.69925
56.4338 5.63958 1.66477
56.4386 5.63887 1.66352
56.4926 5.63086 1.73332
56.5762 5.61843 1.76552
56.617 5.61238 1.58692
56.6219 5.61164 1.76541
56.6571 5.60641 1.69815
56.7267 5.59606 1.66302
56.7361 5.59466 1.65733
56.7787 5.58831 1.76506
56.8114 5.58344 1.76498
56.8525 5.57732 1.61147
56.9161 5.56783 1.76476
56.9358 5.5649 1.76472
56.9882 5.55708 1.76461
56.9948 5.5561 1.76459
57.164 5.53081 1.73118
57.2062 5.52449 1.60472
57.2415 5.51922 1.70392
57.2453 5.51864 1.62652
57.3255 5.50663 1.73071
57.4631 5.48599 1.69901
57.5744 5.46928 1.62417
57.5973 5.46585 1.69418
57.6908 5.45178 1.59353
57.8262 5.43138 1.69329
57.8732 5.4243 1.56876
57.8765 5.42381 1.65664
57.9163 5.41781 1.55461
57.9459 5.41334 1.72903
57.9598 5.41124 1.55214
57.962 5.41092 1.63198
58.0123 5.40332 1.75602
58.0276 5.40101 1.75566
58.0501 5.39761 1.59041
58.0946 5.39089 1.72867
58.1501 5.3825 1.75281
58.1528 5.38209 1.56066
58.1584 5.38125 1.6552
58.1959 5.37557 1.75175
58.255 5.36663 1.56473
58.2771 5.36328 1.62551
58.3111 5.35813 1.54962
58.3566 5.35123 1.54629
58.3975 5.34504 1.67842
58.4397 5.33863 1.74608
58.5157 5.3271 1.74432
58.5397 5.32346 1.55417
58.6426 5.30782 1.67304
58.6438 5.30763 1.57764
58.6628 5.30476 1.7274
58.7175 5.29643 1.69015
58.7982 5.28415 1.72713
58.8712 5.27302 1.61557
58.8786 5.2719 1.7359
58.9341 5.26344 1.68947
58.984 5.25583 1.73346
59.0086 5.25208 1.57087
59.1904 5.2243 1.61361
59.263 5.2132 1.65003
59.313 5.20554 1.72621
59.435 5.18686 1.72602
59.4628 5.18259 1.72239
59.4713 5.1813 1.57881
59.5334 5.17177 1.64888
59.5695 5.16622 1.59924
59.5967 5.16205 1.7193
59.6673 5.1512 1.65066
59.7707 5.13532 1.54952
59.7749 5.13467 1.6871
59.8224 5.12736 1.57614
59.8846 5.11777 1.53053
59.8954 5.11612 1.72538
59.9003 5.11537 1.59258
59.9342 5.11014 1.64487
59.9457 5.10837 1.52357
59.9786 5.1033 1.6866
60.0036 5.09944 1.72525
60.0975 5.08496 1.52867
60.1465 5.07739 1.54596
60.1873 5.07109 1.70569
60.2765 5.05732 1.52599
60.3431 5.04701 1.51809
60.3486 5.04617 1.70199
60.4087 5.03686 1.72484
60.4464 5.03102 1.60655
60.4865 5.02481 1.54389
60.4891 5.0244 1.52242
60.503 5.02226 1.72476
60.5909 5.00863 1.64487
60.7551 4.98314 1.60497
60.7672 4.98127 1.68492
60.8492 4.96852 1.64401
60.8518 4.96811 1.72451
60.8604 4.96677 1.5372
60.9319 4.95565 1.72447
60.9577 4.95165 1.68458
61.0419 4.93853 1.621
61.0461 4.93787 1.68601
61.2093 4.91244 1.56637
61.2238 4.91017 1.72435
61.2334 4.90867 1.68174
61.2515 4.90584 1.56575
61.2896 4.8999 1.72433
61.3286 4.89382 1.61487
61.5239 4.86328 1.72429
61.5515 4.85896 1.56415
61.5752 4.85525 1.72428
61.5961 4.85198 1.559
61.6369 4.84559 1.53272
61.6925 4.83687 1.6835
61.7514 4.82765 1.72428
61.7881 4.82188 1.72428
61.8362 4.81435 1.50883
61.8575 4.811 1.64109
61.8694 4.80913 1.6833
61.9058 4.80342 1.7243
61.9278 4.79995 1.7243
61.9321 4.79928 1.49702
61.9678 4.79367 1.59943
61.9867 4.79069 1.72431
61.9941 4.78954 1.72432
62.006 4.78766 1.52967
62.0324 4.78351 1.66358
62.0628 4.77873 1.49807
62.1032 4.77237 1.64049
62.224 4.75337 1.5048
62.2443 4.75016 1.65879
62.2654 4.74684 1.59823
62.3289 4.73683 1.49199
62.3719 4.73005 1.51075
62.4578 4.7165 1.49216
62.512 4.70794 1.58982
62.5489 4.70211 1.68273
62.7117 4.67637 1.68265
62.7534 4.66978 1.50424
62.8167 4.65976 1.58344
62.9013 4.64635 1.55624
62.9988 4.63089 1.532
63.0116 4.62886 1.71638
63.0262 4.62655 1.71604
63.0603 4.62113 1.63858
63.1388 4.60867 1.63869
63.1423 4.60811 1.71329
63.1858 4.60121 1.71226
63.2339 4.59357 1.5545
63.293 4.58416 1.63821
63.3345 4.57756 1.68251
63.3553 4.57425 1.52526
63.3738 4.57131 1.63344
63.4172 4.56441 1.7068
63.4325 4.56198 1.59416
63.4678 4.55635 1.51854
63.483 4.55392 1.68252
63.4893 4.55293 1.7051
63.7183 4.5164 1.59332
63.7658 4.50882 1.48978
63.8293 4.49867 1.51602
63.834 4.49793 1.69699
63.9131 4.48529 1.47289
63.9341 4.48193 1.69464
64.0418 4.4647 1.46936
64.0477 4.46374 1.6827
64.0685 4.46042 1.55756
64.1487 4.44758 1.48631
64.1815 4.44231 1.68278
64.1969 4.43986 1.6372
64.2918 4.42463 1.47872
64.3081 4.42202 1.46838
64.3575 4.41409 1.61165
64.3894 4.40898 1.55102
64.3895 4.40896 1.68397
64.416 4.4047 1.63705
64.4386 4.40108 1.46388
64.5169 4.3885 1.681
64.5438 4.38418 1.54844
64.614 4.37288 1.60601
64.6793 4.36238 1.4725
64.6869 4.36116 1.68321
64.8026 4.34253 1.4985
64.8057 4.34203 1.68334
64.8373 4.33694 1.59064
64.866 4.33231 1.54716
65.0794 4.29789 1.66791
65.1108 4.29282 1.59014
65.1694 4.28336 1.49188
65.2331 4.27306 1.66435
65.2506 4.27024 1.68392
65.2592 4.26885 1.50706
65.2648 4.26794 1.63682
65.3541 4.25349 1.68408
65.4699 4.23475 1.63685
65.6123 4.21167 1.50509
65.6688 4.20251 1.47363
65.6805 4.20061 1.58282
65.7025 4.19703 1.52469
65.7374 4.19138 1.68474
65.8255 4.17708 1.6849
65.8829 4.16775 1.45153
65.8987 4.16518 1.64901
65.9569 4.15573 1.57688
66.0276 4.14422 1.44299
66.0379 4.14255 1.51809
66.0458 4.14127 1.47076
66.0776 4.13609 1.64491
66.1332 4.12704 1.54292
66.1463 4.12491 1.68557
66.1793 4.11953 1.58876
66.2186 4.11313 1.68573
66.2388 4.10985 1.44835
66.2616 4.10613 1.63729
66.2751 4.10393 1.44762
66.4251 4.07947 1.43804
66.4399 4.07704 1.58856
66.4444 4.07631 1.54209
66.4522 4.07504 1.63747
66.4762 4.07112 1.68633
66.5327 4.0619 1.68647
66.6307 4.04589 1.44252
66.6544 4.04202 1.4658
66.7265 4.03024 1.68697
66.7669 4.02363 1.68708
66.8416 4.01141 1.62751
66.8963 4.00244 1.68744
66.9206 3.99846 1.68751
66.9854 3.98785 1.68769
66.9935 3.98652 1.68771
67.007 3.98431 1.49833
67.0298 3.98057 1.4594
67.0444 3.97818 1.62292
67.0995 3.96914 1.55263
67.1851 3.9551 1.63845
67.351 3.92787 1.49691
67.3608 3.92625 1.63875
67.3941 3.92078 1.54647
67.4056 3.9189 1.49172
67.4556 3.91067 1.58834
67.5404 3.89672 1.46053
67.6661 3.87604 1.53959
67.7027 3.87 1.58842
67.7537 3.86161 1.48516
67.8362 3.84801 1.43327
67.9016 3.83723 1.6037
67.9106 3.83575 1.45829
67.9656 3.82667 1.53918
68.0111 3.81916 1.68072
68.0141 3.81867 1.41942
68.0249 3.81688 1.6804
68.0331 3.81552 1.64014
68.127 3.80001 1.59869
68.1352 3.79866 1.6778
68.1766 3.79183 1.67683
68.1935 3.78903 1.64052
68.2054 3.78705 1.42016
68.2244 3.78392 1.43001
68.3965 3.75545 1.67167
68.4109 3.75307 1.41508
68.465 3.7441 1.67006
68.5464 3.73062 1.43445
68.6005 3.72165 1.41483
68.6064 3.72068 1.52152
68.6633 3.71125 1.58923
68.7072 3.70396 1.49234
68.793 3.68973 1.66241
68.8036 3.68797 1.6422
68.8883 3.67391 1.66019
68.8963 3.67258 1.58955
68.9176 3.66904 1.51522
68.929 3.66716 1.4284
68.9482 3.66396 1.64264
69.0412 3.6485 1.49146
69.072 3.64339 1.57791
69.139 3.63225 1.53831
69.1692 3.62721 1.4592
69.3187 3.60233 1.57255
69.322 3.60178 1.65013
69.3761 3.59277 1.4506
69.426 3.58444 1.53829
69.4434 3.58156 1.64733
69.4946 3.57301 1.64448
69.5285 3.56736 1.4528
69.6232 3.55157 1.64495
69.7385 3.53232 1.449
69.7676 3.52745 1.41835
69.7994 3.52214 1.59123
69.9799 3.49198 1.63501
69.9951 3.48943 1.39904
70.0178 3.48562 1.59174
70.1045 3.47112 1.64683
70.1265 3.46743 1.63167
70.1508 3.46336 1.41578
70.1851 3.45763 1.39467
70.1931 3.45628 1.48997
70.2166 3.45235 1.6473
70.3456 3.43072 1.55052
70.3559 3.429 1.48901
70.3901 3.42326 1.39538
70.4711 3.40969 1.40503
70.5193 3.40159 1.48366
70.5484 3.39671 1.53891
70.582 3.39107 1.38994
70.6121 3.38601 1.54488
70.6316 3.38274 1.64913
70.6791 3.37476 1.48865
70.7269 3.36672 1.64957
70.7623 3.36078 1.61726
70.8223 3.35068 1.53924
70.8593 3.34447 1.39943
70.8613 3.34413 1.59413
70.9333 3.33203 1.61341
70.9856 3.32322 1.4277
71.0645 3.30993 1.59481
71.0745 3.30825 1.65125
71.1529 3.29505 1.65164
71.1712 3.29196 1.44386
71.3545 3.26106 1.42157
71.4321 3.24797 1.65308
71.4933 3.23764 1.6534
71.525 3.23228 1.44289
71.6642 3.20877 1.59711
71.6721 3.20744 1.40695
71.7033 3.20216 1.65454
71.7153 3.20013 1.52194
71.7472 3.19475 1.65479
71.8462 3.178 1.59774
71.8516 3.17708 1.45852
71.8585 3.17592 1.59281
71.8875 3.17101 1.65558
71.8909 3.17044 1.54119
71.9139 3.16655 1.65573
71.9491 3.1606 1.48821
71.9649 3.15791 1.38219
71.9842 3.15465 1.65613
71.993 3.15316 1.65618
72.0001 3.15195 1.51613
72.0338 3.14626 1.59852
72.0493 3.14363 1.4051
72.1511 3.12638 1.54182
72.1711 3.12298 1.37234
72.1913 3.11957 1.4523
72.2607 3.1078 1.48834
72.357 3.09146 1.37927
72.4212 3.08058 1.3781
72.5686 3.05555 1.3683
72.6802 3.03658 1.57486
72.7516 3.02444 1.60183
72.8136 3.0139 1.37306
72.847 3.00822 1.3978
72.8966 2.99979 1.57019
72.9214 2.99556 1.44027
72.923 2.9953 1.60269
73.0105 2.9804 1.6504
73.0236 2.97817 1.6501
73.1286 2.96029 1.6477
73.1632 2.9544 1.54491
73.1679 2.95359 1.64681
73.1737 2.95261 1.49265
73.2241 2.94402 1.39206
73.2657 2.93693 1.43992
73.3772 2.91791 1.64205
73.4089 2.91251 1.5458
73.4424 2.90678 1.64057
73.4753 2.90117 1.48675
73.4827 2.8999 1.48975
73.5445 2.88935 1.39916
73.5742 2.88428 1.42774
73.5751 2.88413 1.6062
73.7298 2.85772 1.60709
73.7547 2.85345 1.63351
73.782 2.84879 1.49032
73.8044 2.84496 1.55085
73.8455 2.83793 1.63147
73.9148 2.82608 1.39804
73.9179 2.82555 1.36913
73.9258 2.8242 1.42171
74.0416 2.80437 1.54587
74.1574 2.78455 1.35361
74.2588 2.76719 1.62222
74.306 2.7591 1.36699
74.3143 2.75767 1.61065
74.3618 2.74953 1.54982
74.3745 2.74735 1.61964
74.3899 2.74472 1.3542
74.4519 2.73408 1.61154
74.5542 2.71654 1.35033
74.5925 2.70997 1.55092
74.6222 2.70486 1.43971
74.7133 2.68922 1.46313
74.7462 2.68358 1.3701
74.7853 2.67686 1.34983
74.8864 2.65949 1.60833
74.953 2.64804 1.4934
74.956 2.64752 1.43994
74.9673 2.64558 1.615
75.0264 2.63541 1.60526
75.0303 2.63474 1.45725
75.0304 2.63472 1.52546
75.0873 2.62493 1.61585
75.1299 2.61761 1.36487
75.2391 2.59882 1.49436
75.2873 2.59052 1.52025
75.3534 2.57913 1.39821
75.3801 2.57454 1.39499
75.4837 2.55668 1.55566
75.532 2.54836 1.61908
75.6338 2.53081 1.59206
75.6342 2.53074 1.61985
75.6986 2.51963 1.55692
75.7154 2.51673 1.3925
75.7423 2.51209 1.39458
75.7973 2.50261 1.58854
75.8486 2.49375 1.36003
76.0069 2.46642 1.62274
76.0909 2.45189 1.62341
76.1379 2.44378 1.33881
76.2316 2.42758 1.35869
76.269 2.4211 1.44199
76.3269 2.41109 1.43394
76.3519 2.40677 1.49911
76.3559 2.40608 1.4989
76.3706 2.40353 1.33382
76.3904 2.4001 1.62584
76.4561 2.38874 1.62639
76.4967 2.38171 1.57366
76.5257 2.3767 1.56217
76.5327 2.37548 1.33635
76.5916 2.36529 1.44277
76.6271 2.35914 1.49377
76.628 2.35897 1.50019
76.6579 2.3538 1.42818
76.676 2.35067 1.34518
76.6815 2.34971 1.62829
76.6828 2.3495 1.56974
76.7242 2.34232 1.56353
76.7286 2.34156 1.62869
76.7677 2.33478 1.33021
76.8793 2.31544 1.63
76.9075 2.31053 1.63024
76.983 2.29745 1.63091
76.9924 2.29581 1.63099
77.065 2.28322 1.34058
77.1737 2.26437 1.39435
77.1819 2.26293 1.37052
77.4704 2.21283 1.55341
77.4847 2.21035 1.56908
77.5269 2.203 1.39463
77.5529 2.19848 1.36526
77.6662 2.17878 1.57049
77.678 2.17674 1.54917
77.6876 2.17507 1.50594
77.7516 2.16394 1.35495
77.7623 2.16208 1.47227
77.8576 2.14549 1.44688
77.945 2.13027 1.50751
78.0075 2.1194 1.40563
78.01 2.11896 1.62667
78.0225 2.11678 1.6264
78.0544 2.11122 1.46689
78.1066 2.10214 1.32822
78.1223 2.09939 1.62424
78.1283 2.09834 1.35442
78.1597 2.09287 1.62344
78.1679 2.09146 1.44814
78.351 2.05954 1.40012
78.3571 2.05848 1.3174
78.3578 2.05835 1.57614
78.3589 2.05817 1.61917
78.421 2.04734 1.61784
78.4984 2.03383 1.32662
78.5219 2.02972 1.57754
78.5497 2.02488 1.53166
78.6297 2.01092 1.32359
78.7183 1.99546 1.61151
78.7545 1.98914 1.31462
78.7778 1.98507 1.52716
78.8048 1.98036 1.60968
78.9205 1.96014 1.39708
78.9443 1.95599 1.51423
79.0228 1.94227 1.31972
79.0527 1.93704 1.34529
79.1425 1.92134 1.5831
79.1863 1.91369 1.516
79.1986 1.91154 1.6014
79.2548 1.9017 1.44545
79.2638 1.90013 1.39801
79.2886 1.89579 1.58446
79.3089 1.89224 1.5991
79.3833 1.87922 1.45407
79.4313 1.87082 1.34059
79.5626 1.84784 1.44013
79.6215 1.83754 1.35388
79.6806 1.82718 1.45575
79.7292 1.81867 1.50879
79.7478 1.81541 1.37879
79.7972 1.80676 1.589
79.8363 1.79991 1.58974
79.9308 1.78334 1.58627
79.9639 1.77754 1.59101
79.9766 1.77531 1.50411
79.991 1.77279 1.35413
80.0578 1.76108 1.32197
80.1025 1.75325 1.37366
80.1222 1.74978 1.52342
80.3429 1.71105 1.30527
80.3481 1.71016 1.52534
80.4368 1.69458 1.59585
80.4454 1.69307 1.32124
80.5109 1.68158 1.57452
80.5455 1.67549 1.59699
80.6008 1.66579 1.30583
80.6156 1.66318 1.40293
80.6671 1.65414 1.57139
80.7395 1.64141 1.30339
80.823 1.62674 1.41916
80.8419 1.62342 1.46323
80.9421 1.60581 1.60125
80.948 1.60478 1.40444
80.9589 1.60286 1.3231
80.9965 1.59624 1.30278
81.0031 1.59509 1.48521
81.0316 1.59008 1.60223
81.1252 1.57361 1.46527
81.1451 1.57011 1.41402
81.2178 1.55732 1.53321
81.2687 1.54837 1.48045
81.336 1.53653 1.5582
81.3438 1.53515 1.31907
81.3505 1.53397 1.60578
81.4204 1.52166 1.60658
81.4268 1.52055 1.53521
81.453 1.51593 1.35667
81.514 1.50519 1.55474
81.5411 1.50041 1.35404
81.6606 1.47937 1.60933
81.7107 1.47054 1.60991
81.8142 1.45231 1.35767
81.8713 1.44225 1.61179
81.9015 1.43694 1.61215
81.9056 1.43621 1.34939
81.9819 1.42276 1.6131
81.9858 1.42206 1.32011
81.992 1.42098 1.61322
82.2276 1.37943 1.54327
82.229 1.37918 1.474
82.2541 1.37476 1.41158
82.2684 1.37223 1.54032
82.3223 1.36273 1.29769
82.3656 1.35509 1.46138
82.3682 1.35463 1.32025
82.4189 1.34568 1.54529
82.4602 1.33839 1.39399
82.4674 1.33712 1.53659
82.4974 1.33182 1.47631
82.5746 1.3182 1.41361
82.5828 1.31675 1.29233
82.6482 1.30521 1.45663
82.7168 1.29309 1.29673
82.7954 1.27922 1.38913
82.8939 1.26181 1.30448
82.98 1.24661 1.29017
83.0095 1.24139 1.61054
83.0214 1.23929 1.61031
83.1163 1.22252 1.60843
83.1481 1.21689 1.5533
83.1519 1.21623 1.60773
83.2408 1.20051 1.3631
83.2838 1.19291 1.30123
83.3037 1.18938 1.52123
83.3212 1.18629 1.55527
83.3412 1.18276 1.60402
83.3807 1.17577 1.33195
83.4003 1.17231 1.60286
83.5227 1.15066 1.5173
83.5402 1.14757 1.486
83.5927 1.13828 1.36479
83.6831 1.12228 1.59737
83.7536 1.1098 1.3279
83.7654 1.10771 1.59578
83.7929 1.10284 1.48851
83.8107 1.0997 1.4378
83.8311 1.09609 1.42267
83.885 1.08655 1.32255
83.9763 1.07038 1.56301
84.1091 1.04687 1.43315
84.1306 1.04306 1.56489
84.1386 1.04164 1.42515
84.1404 1.04134 1.58861
84.1599 1.03787 1.37049
84.2455 1.02272 1.58661
84.2609 1.01999 1.32354
84.289 1.015 1.29475
84.4371 0.988778 1.50129
84.5068 0.976421 1.36604
84.5695 0.965304 1.28339
84.6751 0.9466 1.49724
84.6804 0.945661 1.29473
84.7093 0.940538 1.57213
84.7107 0.940282 1.57789
84.7712 0.929553 1.49884
84.8381 0.917694 1.57553
84.8442 0.916618 1.57386
84.8513 0.915364 1.28993
84.9669 0.894858 1.28218
84.9796 0.892607 1.37284
85.0075 0.887667 1.50148
85.2449 0.845556 1.28754
85.2601 0.842855 1.31309
85.321 0.832047 1.37516
85.3324 0.830018 1.41497
85.3416 0.828394 1.4358
85.3443 0.82791 1.58044
85.3914 0.819548 1.56542
85.4594 0.807495 1.58198
85.5406 0.793083 1.56274
85.6353 0.776271 1.43863
85.6402 0.775406 1.30975
85.6454 0.774467 1.41054
85.6635 0.771269 1.48091
85.7497 0.755964 1.32911
85.8791 0.732983 1.58771
85.9157 0.726478 1.34925
85.918 0.726081 1.51215
85.9195 0.72582 1.47681
85.9739 0.716159 1.58903
86.118 0.690565 1.33089
86.1369 0.687209 1.51483
86.1794 0.67965 1.55144
86.2373 0.669362 1.29647
86.2731 0.663011 1.34532
86.3116 0.656163 1.59378
86.3496 0.649422 1.54848
86.3857 0.643003 1.59484
86.5548 0.612952 1.27924
86.6243 0.600615 1.29736
86.6402 0.59778 1.59851
86.664 0.593554 1.38553
86.6933 0.588339 1.59928
86.7808 0.572801 1.45053
86.8247 0.564995 1.27982
86.8636 0.558082 1.60177
86.8955 0.552401 1.60224
86.9248 0.547193 1.39344
86.9512 0.542506 1.27899
86.9764 0.53802 1.52555
86.9777 0.537788 1.46051
86.9808 0.53724 1.6035
86.9915 0.535344 1.60366
86.9939 0.534918 1.38838
87.0596 0.523232 1.45363
87.0711 0.521188 1.53622
87.1728 0.503107 1.29798
87.1772 0.50233 1.52822
87.2207 0.494582 1.27836
87.2506 0.489263 1.45647
87.2512 0.489157 1.38934
87.2615 0.487326 1.53305
87.5588 0.434464 1.29544
87.5741 0.431731 1.33948
87.7214 0.405542 1.33083
87.9337 0.367769 1.34198
87.9427 0.366176 1.53871
88.009 0.354371 1.60275
88.0203 0.352366 1.60256
88.0626 0.344839 1.52007
88.0879 0.340329 1.32753
88.1104 0.336338 1.60099
88.1245 0.333819 1.54128
88.1437 0.330409 1.46643
88.1441 0.330332 1.6004
88.1612 0.327287 1.30269
88.2725 0.307489 1.51676
88.2886 0.304628 1.40072
88.3239 0.298344 1.59728
88.3745 0.289336 1.44057
88.38 0.288362 1.59632
88.4067 0.283607 1.46971
88.5326 0.261205 1.27992
88.5426 0.259429 1.30446
88.5819 0.252437 1.37375
88.6058 0.248168 1.40401
88.6486 0.240552 1.59172
88.6633 0.237942 1.43668
88.7268 0.226638 1.5904
88.8079 0.212206 1.27445
88.8131 0.211285 1.55129
88.9205 0.192165 1.37007
88.9267 0.19106 1.28064
88.9754 0.1824 1.55371
89.0832 0.163209 1.58442
89.1126 0.157976 1.28705
89.1497 0.15136 1.50334
89.1831 0.145422 1.58276
89.2052 0.141491 1.27396
89.3527 0.115236 1.35329
89.3783 0.11068 1.49996
89.4256 0.102256 1.48305
89.5032 0.0884332 1.28539
89.5706 0.076436 1.31574
89.5843 0.0740088 1.56299
89.6256 0.0666473 1.57551
89.6718 0.0584212 1.48642
89.7024 0.0529859 1.35642
89.7263 0.0487206 1.5652
89.7469 0.0450635 1.57356
89.848 0.0270668 1.41793
89.8485 0.0269763 1.42157
89.9452 0.00975817 1.31317
90.0548 -0.00975817 1.31317
90.1515 -0.0269763 1.42157
90.152 -0.0270668 1.41793
90.2531 -0.0450635 1.57356
90.2737 -0.0487206 1.5652
90.2976 -0.0529859 1.35642
90.3282 -0.0584212 1.48642
90.3744 -0.0666473 1.57551
90.4157 -0.0740088 1.56299
90.4294 -0.076436 1.31574
90.4968 -0.0884332 1.28539
90.5744 -0.102256 1.48305
90.6217 -0.11068 1.49996
90.6473 -0.115236 1.35329
90.7948 -0.141491 1.27396
90.8169 -0.145422 1.58276
90.8503 -0.15136 1.50334
90.8874 -0.157976 1.28705
90.9168 -0.163209 1.58442
91.0246 -0.1824 1.55371
91.0733 -0.19106 1.28064
91.0795 -0.192165 1.37007
91.1869 -0.211285 1.55129
91.1921 -0.212206 1.27445
91.2732 -0.226638 1.5904
91.3367 -0.237942 1.43668
91.3514 -0.240552 1.59172
91.3942 -0.248168 1.40401
91.4181 -0.252437 1.37375
91.4574 -0.259429 1.30446
91.4674 -0.261205 1.27992
91.5933 -0.283607 1.46971
91.62 -0.288362 1.59632
91.6255 -0.289336 1.44057
91.6761 -0.298344 1.59728
91.7114 -0.304628 1.40072
91.7275 -0.307489 1.51676
91.8388 -0.327287 1.30269
91.8559 -0.330332 1.6004
91.8563 -0.330409 1.46643
91.8755 -0.333819 1.54128
91.8896 -0.336338 1.60099
91.9121 -0.340329 1.32753
91.9374 -0.344839 1.52007
91.9797 -0.352366 1.60256
91.991 -0.354371 1.60275
92.0573 -0.366176 1.53871
92.0663 -0.367769 1.34198
92.2786 -0.405542 1.33083
92.4259 -0.431731 1.33948
92.4412 -0.434464 1.29544
92.7385 -0.487326 1.53305
92.7488 -0.489157 1.38934
92.7494 -0.489263 1.45647
92.7793 -0.494582 1.27836
92.8228 -0.50233 1.52822
92.8272 -0.503107 1.29798
92.9289 -0.521188 1.53622
92.9404 -0.523232 1.45363
93.0061 -0.534918 1.38838
93.0085 -0.535344 1.60366
93.0192 -0.53724 1.6035
93.0223 -0.537788 1.46051
93.0236 -0.53802 1.52555
93.0488 -0.542506 1.27899
93.0752 -0.547193 1.39344
93.1045 -0.552401 1.60224
93.1364 -0.558082 1.60177
93.1753 -0.564995 1.27982
93.2192 -0.572801 1.45053
93.3067 -0.588339 1.59928
93.336 -0.593554 1.38553
93.3598 -0.59778 1.59851
93.3757 -0.600615 1.29736
93.4452 -0.612952 1.27924
93.6143 -0.643003 1.59484
93.6504 -0.649422 1.54848
93.6884 -0.656163 1.59378
93.7269 -0.663011 1.34532
93.7627 -0.669362 1.29647
93.8206 -0.67965 1.55144
93.8631 -0.687209 1.51483
93.882 -0.690565 1.33089
94.0261 -0.716159 1.58903
94.0805 -0.72582 1.47681
94.082 -0.726081 1.51215
94.0843 -0.726478 1.34925
94.1209 -0.732983 1.58771
94.2503 -0.755964 1.32911
94.3365 -0.771269 1.48091
94.3546 -0.774467 1.41054
94.3598 -0.775406 1.30975
94.3647 -0.776271 1.43863
94.4594 -0.793083 1.56274
94.5406 -0.807495 1.58198
94.6086 -0.819548 1.56542
94.6557 -0.82791 1.58044
94.6584 -0.828394 1.4358
94.6676 -0.830018 1.41497
94.679 -0.832047 1.37516
94.7399 -0.842855 1.31309
94.7551 -0.845556 1.28754
