# Theta[deg]   da/a_dipole[ppm]  e(da/a_dipole)[ppm]
24.5594 9.27722 1.99742
24.6996 9.26681 2.01337
24.926 9.2499 2.01128
24.9499 9.2481 2.01762
25.0535 9.24031 2.0169
25.0872 9.23777 1.98022
25.114 9.23574 2.00992
25.2617 9.22456 1.9885
25.3238 9.21983 1.97718
25.3303 9.21934 1.98318
25.3865 9.21505 1.99973
25.4705 9.20863 1.97634
25.4799 9.20791 2.0139
25.4942 9.20682 2.00435
25.5893 9.19951 2.01313
25.5959 9.19901 1.98488
25.643 9.19538 1.99778
25.687 9.19199 1.98016
25.71 9.19021 1.9737
25.7129 9.18999 2.00183
25.8118 9.18234 1.98749
25.8719 9.17767 1.96956
25.8724 9.17764 2.00441
26.0376 9.16477 2.00995
26.0633 9.16275 2.003
26.1236 9.15803 1.98498
26.1521 9.1558 2.00913
26.2693 9.14658 1.9657
26.6191 9.11885 2.00579
26.6613 9.11548 1.99072
26.6685 9.11491 1.98989
26.7379 9.10936 2.00493
26.8314 9.10185 1.99731
26.9157 9.09507 1.98769
26.9245 9.09436 1.9879
26.9709 9.09062 1.96965
27.002 9.08811 2.00751
27.0045 9.0879 2.00749
27.0179 9.08682 1.96024
27.0243 9.0863 1.99587
27.0244 9.08629 2.00735
27.0319 9.08569 2.0073
27.0717 9.08247 2.00702
27.0841 9.08146 2.00693
27.1053 9.07974 1.96794
27.1434 9.07665 2.00651
27.1606 9.07525 2.00639
27.2206 9.07037 2.00144
27.2391 9.06887 2.00583
27.2475 9.06818 1.95957
27.261 9.06708 2.00567
27.3233 9.062 1.96565
27.343 9.06038 2.00055
27.3581 9.05915 2.00498
27.3649 9.05859 1.97481
27.3846 9.05698 2.00479
27.4078 9.05508 1.95609
27.4577 9.05098 1.96484
27.4997 9.04754 2.00397
27.5306 9.04499 2.00375
27.6299 9.03681 1.95598
27.6629 9.03409 2.0028
27.6736 9.0332 1.97225
27.698 9.03118 2.00255
27.7982 9.02287 1.99005
27.8385 9.01953 1.99693
27.8467 9.01885 2.00148
27.8574 9.01796 1.94991
27.8858 9.01559 2.0012
27.9464 9.01054 1.97986
27.9638 9.00909 1.99601
27.9921 9.00672 1.98858
27.9965 9.00636 1.97459
28.0192 9.00446 2.0007
28.0431 9.00246 2.00039
28.0499 9.00189 2.00002
28.0928 8.9983 1.99971
28.2012 8.9892 1.97784
28.2341 8.98643 1.9979
28.2538 8.98477 1.94588
28.2714 8.98328 1.99843
28.2814 8.98244 1.97107
28.3053 8.98042 1.99697
28.3178 8.97937 1.99809
28.4693 8.96654 1.99229
28.5097 8.96311 1.99671
28.5593 8.95889 1.99635
28.5968 8.9557 1.99135
28.6819 8.94843 1.99202
28.7623 8.94156 1.94899
28.7635 8.94145 1.99487
28.7684 8.94104 1.98266
28.7985 8.93845 1.99048
28.816 8.93695 1.99449
28.8581 8.93334 1.95236
28.9012 8.92963 1.96193
28.9625 8.92436 1.98117
28.9765 8.92315 1.939
29.0314 8.91841 1.99292
29.0865 8.91364 1.99252
29.1098 8.91163 1.98755
29.1287 8.90999 1.94466
29.1512 8.90804 1.94144
29.2059 8.9033 1.94921
29.2063 8.90326 1.95933
29.2162 8.90239 1.96971
29.2387 8.90044 1.98659
29.3118 8.89408 1.99088
29.3512 8.89064 1.9831
29.3693 8.88906 1.99046
29.3706 8.88895 1.93463
29.4689 8.88035 1.96767
29.4739 8.87991 1.95611
29.5103 8.87673 1.98096
29.5294 8.87505 1.93777
29.6033 8.86856 1.98875
29.6628 8.86332 1.98832
29.738 8.85669 1.97519
29.7567 8.85504 1.98272
29.7843 8.85259 1.95215
29.8361 8.84801 1.92951
29.8865 8.84354 1.98175
29.9044 8.84196 1.98655
29.9315 8.83955 1.97369
29.9656 8.83652 1.9861
30.2134 8.8144 1.98429
30.2257 8.8133 1.97124
30.2307 8.81285 1.92535
30.2761 8.80878 1.98383
30.407 8.79701 1.97785
30.4182 8.796 1.94894
30.4236 8.79551 1.96852
30.4744 8.79093 1.9595
30.529 8.786 1.98197
30.5372 8.78525 1.97687
30.5868 8.78076 1.93658
30.5927 8.78023 1.9815
30.617 8.77803 1.92674
30.7033 8.7702 1.96769
30.719 8.76876 1.94634
30.7243 8.76829 1.95746
30.8495 8.75687 1.97961
30.8955 8.75267 1.96619
30.9141 8.75097 1.97914
30.9295 8.74956 1.93341
30.9525 8.74745 1.91673
30.9942 8.74364 1.92212
31.0328 8.74009 1.92297
31.058 8.73779 1.97295
31.0699 8.73669 1.93546
31.1736 8.72715 1.97722
31.188 8.72582 1.97197
31.2387 8.72114 1.97674
31.2864 8.71674 1.95655
31.3491 8.71094 1.91217
31.4014 8.70608 1.93109
31.4063 8.70563 1.91925
31.4997 8.69695 1.97482
31.5191 8.69515 1.95328
31.5651 8.69087 1.97434
31.6609 8.68193 1.9602
31.7069 8.67763 1.96806
31.7175 8.67664 1.94931
31.8039 8.66854 1.90855
31.8265 8.66642 1.97241
31.8362 8.66551 1.96708
31.8513 8.66409 1.95871
31.8918 8.66028 1.97192
31.9132 8.65827 1.93594
31.9641 8.65348 1.94728
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32 8.65009 1.97294
32.1525 8.63567 1.97
32.1957 8.63158 1.90431
32.2093 8.63029 1.93335
32.2175 8.62951 1.96952
32.2896 8.62266 1.92074
32.3513 8.61679 1.96319
32.4765 8.60484 1.96761
32.4794 8.60456 1.96222
32.5128 8.60137 1.93916
32.5197 8.60071 1.90311
32.5409 8.59868 1.96713
32.6079 8.59226 1.95277
32.6268 8.59044 1.91757
32.7635 8.5773 1.91286
32.7761 8.57608 1.93537
32.7957 8.57419 1.9513
32.797 8.57407 1.96524
32.8606 8.56793 1.96477
32.8902 8.56507 1.90431
32.9048 8.56366 1.89824
32.9375 8.5605 1.89363
32.9427 8.55999 1.9392
32.9888 8.55553 1.95837
33.0173 8.55276 1.96527
33.0389 8.55066 1.96494
33.1122 8.54354 1.90812
33.1129 8.54348 1.96291
33.1153 8.54325 1.95741
33.1754 8.5374 1.96245
33.1853 8.53643 1.93719
33.2114 8.53389 1.9623
33.2586 8.52928 1.90058
33.2758 8.5276 1.96131
33.3349 8.52182 1.88893
33.3837 8.51704 1.92304
33.4229 8.51321 1.96062
33.4841 8.5072 1.96017
33.5413 8.50158 1.94544
33.6169 8.49413 1.95605
33.6172 8.49411 1.95362
33.6747 8.48843 1.92047
33.7228 8.48368 1.95441
33.7259 8.48338 1.95839
33.7261 8.48335 1.94399
33.7415 8.48183 1.95268
33.7566 8.48033 1.88724
33.7855 8.47748 1.95795
33.8842 8.46769 1.91925
33.9645 8.45972 1.90495
34.0207 8.45412 1.95622
34.0786 8.44835 1.95579
34.1451 8.44171 1.88295
34.1472 8.4415 1.92923
34.1742 8.43881 1.91498
34.2257 8.43365 1.94658
34.2343 8.43279 1.94897
34.2959 8.42661 1.90182
34.3064 8.42556 1.95412
34.3561 8.42057 1.94805
34.3623 8.41995 1.95371
34.3709 8.41909 1.94431
34.3854 8.41762 1.92726
34.4574 8.41038 1.87836
34.4585 8.41027 1.93825
34.5363 8.40243 1.88852
34.5818 8.39783 1.9521
34.6356 8.39239 1.9517
34.6398 8.39197 1.93683
34.7214 8.3837 1.88565
34.8277 8.37291 1.91031
34.8381 8.37185 1.94442
34.8462 8.37103 1.95016
34.8482 8.37082 1.87329
34.8976 8.36579 1.94978
34.8989 8.36566 1.88347
34.9243 8.36307 1.86994
34.9571 8.35972 1.94353
35.0259 8.35271 1.93398
35.0843 8.34674 1.88193
35.0984 8.34529 1.94832
35.1131 8.34379 1.9078
35.1474 8.34027 1.94796
35.2076 8.33409 1.9311
35.3213 8.32241 1.86516
35.3285 8.32167 1.91948
35.3379 8.32071 1.94657
35.3571 8.31873 1.93122
35.3809 8.31627 1.89701
35.3841 8.31594 1.94623
35.4269 8.31153 1.94001
35.5344 8.30042 1.92984
35.5427 8.29956 1.93915
35.5618 8.29758 1.91756
35.5636 8.2974 1.94492
35.6071 8.2929 1.94461
35.6096 8.29263 1.88937
35.691 8.28418 1.86578
35.6936 8.28391 1.8923
35.775 8.27546 1.94339
35.8155 8.27124 1.9431
35.935 8.25877 1.88628
35.9713 8.25498 1.94197
35.9988 8.2521 1.93575
36.003 8.25165 1.91838
36.0087 8.25107 1.9417
36.0754 8.24408 1.86149
36.111 8.24034 1.93492
36.1519 8.23605 1.94066
36.1861 8.23246 1.94041
36.2183 8.22907 1.91492
36.2348 8.22734 1.9244
36.2428 8.22649 1.89786
36.3162 8.21876 1.93947
36.3471 8.2155 1.93925
36.3725 8.21282 1.8627
36.4076 8.20911 1.92306
36.4197 8.20784 1.85272
36.4638 8.20317 1.93841
36.4843 8.20101 1.90999
36.4913 8.20026 1.93821
36.5222 8.19699 1.89541
36.5242 8.19678 1.86714
36.5522 8.19381 1.93165
36.5942 8.18936 1.93747
36.6182 8.18681 1.9373
36.6605 8.18231 1.93085
36.707 8.17737 1.93666
36.7121 8.17682 1.90812
36.7274 8.1752 1.93651
36.7461 8.1732 1.85738
36.8018 8.16727 1.93598
36.8143 8.16594 1.84751
36.8185 8.16548 1.93586
36.8783 8.1591 1.93543
36.8811 8.1588 1.86347
36.8914 8.1577 1.93534
36.907 8.15603 1.84592
36.9364 8.15289 1.93502
36.9458 8.15188 1.93495
36.9759 8.14866 1.93473
36.9815 8.14806 1.93469
36.9843 8.14776 1.87267
36.9966 8.14645 1.93459
36.9985 8.14624 1.93457
37.0855 8.13691 1.92772
37.0893 8.1365 1.91781
37.1413 8.13092 1.89993
37.1896 8.12572 1.92696
37.2232 8.1221 1.87409
37.2573 8.11843 1.91653
37.3026 8.11355 1.84109
37.3163 8.11207 1.86758
37.3868 8.10446 1.89591
37.542 8.08765 1.87108
37.5973 8.08165 1.92398
37.6038 8.08094 1.84438
37.6122 8.08003 1.90081
37.627 8.07842 1.88577
37.6969 8.07082 1.92325
37.8342 8.05585 1.89901
37.8999 8.04866 1.8834
37.9188 8.0466 1.91148
37.9836 8.03951 1.84013
38.0159 8.03597 1.92624
38.0357 8.03379 1.92589
38.0815 8.02876 1.91025
38.0861 8.02826 1.92043
38.181 8.01783 1.91975
38.194 8.0164 1.92313
38.2532 8.00989 1.92209
38.2586 8.00929 1.83567
38.2965 8.0051 1.84895
38.3974 7.99396 1.82648
38.424 7.99102 1.8788
38.5508 7.97697 1.91709
38.567 7.97518 1.91659
38.6407 7.96698 1.91644
38.6407 7.96699 1.83015
38.6472 7.96627 1.84536
38.6644 7.96435 1.91487
38.6776 7.96288 1.84649
38.6964 7.96079 1.87428
38.7101 7.95927 1.89198
38.7213 7.95802 1.90543
38.7941 7.9499 1.82119
38.8033 7.94888 1.85925
38.8784 7.9405 1.90426
38.8805 7.94026 1.82179
38.9259 7.93519 1.89027
38.9782 7.92933 1.8741
38.9901 7.928 1.91395
39.0257 7.92401 1.84106
39.0748 7.9185 1.91335
39.1151 7.91398 1.85634
39.1285 7.91247 1.90668
39.2444 7.89944 1.87183
39.2627 7.89737 1.9043
39.2737 7.89613 1.81697
39.4029 7.88155 1.91104
39.4822 7.87259 1.91048
39.4921 7.87146 1.82326
39.495 7.87114 1.89968
39.6461 7.854 1.89857
39.776 7.83923 1.88356
39.7882 7.83784 1.90834
39.8345 7.83256 1.85522
39.8618 7.82944 1.90782
39.8666 7.8289 1.81908
39.8697 7.82855 1.8935
39.9851 7.81535 1.88192
40.0364 7.80949 1.83123
40.0385 7.80925 1.89049
40.1305 7.7987 1.85023
40.1449 7.79704 1.90586
40.1827 7.79271 1.80773
40.2128 7.78925 1.90539
40.2381 7.78634 1.89425
40.2945 7.77985 1.86293
40.3479 7.7737 1.84494
40.3803 7.76996 1.82776
40.3829 7.76966 1.79992
40.383 7.76966 1.8932
40.4456 7.76242 1.81874
40.4724 7.75933 1.90361
40.5343 7.75218 1.90318
40.5534 7.74996 1.86077
40.5712 7.74791 1.80206
40.6524 7.73849 1.84216
40.7697 7.72488 1.90158
40.7792 7.72377 1.87719
40.7804 7.72363 1.7946
40.807 7.72054 1.81302
40.8079 7.72043 1.87556
40.8254 7.71839 1.9012
40.8402 7.71667 1.79782
40.9492 7.70397 1.88913
40.9802 7.70035 1.87356
41.0101 7.69686 1.87401
41.0361 7.69382 1.89978
41.0856 7.68803 1.89944
41.0874 7.68782 1.88815
41.2301 7.6711 1.79306
41.2711 7.66629 1.8982
41.3142 7.66122 1.89791
41.3531 7.65665 1.8026
41.3568 7.65621 1.82943
41.474 7.64242 1.89684
41.5107 7.63809 1.8966
41.5739 7.63062 1.85232
41.6266 7.62439 1.88435
41.6444 7.6223 1.89571
41.6734 7.61886 1.82403
41.6745 7.61873 1.89551
41.7218 7.61313 1.79854
41.7417 7.61077 1.81414
41.758 7.60884 1.88343
41.7818 7.60601 1.8948
41.8041 7.60337 1.86802
41.8053 7.60322 1.89465
41.8252 7.60087 1.85027
41.8444 7.59859 1.85789
41.8552 7.5973 1.83128
41.8861 7.59363 1.89412
41.9029 7.59163 1.89401
41.9568 7.58522 1.89366
41.9669 7.58401 1.89359
41.9939 7.5808 1.89341
41.9973 7.5804 1.89339
41.9988 7.58022 1.86656
42.0749 7.57115 1.8537
42.0784 7.57073 1.81081
42.1348 7.564 1.77918
42.152 7.56194 1.82863
42.2691 7.54794 1.8799
42.2749 7.54725 1.78972
42.3696 7.5359 1.77333
42.3932 7.53306 1.87905
42.5277 7.51689 1.77342
42.647 7.50253 1.78379
42.7626 7.48857 1.86095
42.7665 7.4881 1.76803
42.7819 7.48623 1.77425
42.8144 7.4823 1.84231
42.8751 7.47495 1.87579
42.9496 7.46592 1.85959
42.9759 7.46273 1.8017
42.9919 7.46079 1.87501
43.0147 7.45802 1.88461
43.0331 7.45578 1.88425
43.0516 7.45354 1.83582
43.0577 7.45279 1.84038
43.1677 7.43941 1.7696
43.1801 7.43791 1.8814
43.184 7.43743 1.78261
43.2351 7.43121 1.88033
43.3089 7.4222 1.83109
43.3101 7.42205 1.79595
43.3232 7.42045 1.81833
43.4103 7.40981 1.79781
43.4436 7.40573 1.87202
43.5268 7.39553 1.87465
43.5463 7.39314 1.77871
43.5526 7.39236 1.8713
